['R$ 4,79', 'R$ 18,11', 'R$ 15,00', 'R$ 3,82', 'R$ 10,12', 'R$ 8,54', 'R$ 1,53', 'R$ 6,91', 'R$ 28,92', 'R$ 5,21', 'R$ 9,67', 'R$ 28,21']
['R$ 1,50', 'R$ 5,48', 'R$ 19,55', 'R$ 0,85', 'R$ 12,27', 'R$ 2,25', 'R$ 82,73', 'R$ 30,02', 'R$ 120,02', 'R$ 179,16', 'R$ 23,91', 'R$ 1,13']
['R$ 17,33', 'R$ 9,53', 'R$ 1,79', 'R$ 4,26', 'R$ 1,44', 'R$ 5,54', 'R$ 23,05', 'R$ 9,64', 'R$ 3,16', 'R$ 8,29', 'R$ 12,93', 'R$ 7,82']
['R$ 2,29', 'R$ 1,39', 'R$ 63,21', 'R$ 24,73', 'R$ 2,12', 'R$ 18,32', 'R$ 8,66', 'R$ 0,95', 'R$ 22,61', 'R$ 6,14', 'R$ 8,98', 'R$ 0,55']
['R$ 7,74', 'R$ 104,93', 'R$ 1,20', 'R$ 30,51', 'R$ 12,79', 'R$ 2,50', 'R$ 5,27', 'R$ 0,58', 'R$ 5,82', 'R$ 86,86', 'R$ 1,59', 'R$ 258,96']
['R$ 20,76', 'R$ 1,63', 'R$ 4,50', 'R$ 1,21', 'R$ 45,59', 'R$ 4,30', 'R$ 25,60', 'R$ 2,87', 'R$ 3,55', 'R$ 12,64', 'R$ 3,79', 'R$ 22,92']
['R$ 22,58', 'R$ 6,29', 'R$ 1,13', 'R$ 5,44', 'R$ 9,40', 'R$ 93,14', 'R$ 2,21', 'R$ 40,02', 'R$ 2,15', 'R$ 4,11', 'R$ 11,18', 'R$ 4,97']
['R$ 5,26', 'R$ 50,38', 'R$ 3,73', 'R$ 2,42', 'R$ 6,17', 'R$ 1,94', 'R$ 4,10', 'R$ 6,27', 'R$ 19,86', 'R$ 1,77', 'R$ 7,30', 'R$ 0,98']
['R$ 73,00', 'R$ 43,38', 'R$ 1,11', 'R$ 44,37', 'R$ 8,21', 'R$ 54,78', 'R$ 6,34', 'R$ 3,74', 'R$ 74,09', 'R$ 0,62', 'R$ 6,96', 'R$ 1,95']
['R$ 2,67', 'R$ 3,72', 'R$ 7,11', 'R$ 4,89', 'R$ 20,38', 'R$ 1,99', 'R$ 2,59', 'R$ 82,76', 'R$ 6,19', 'R$ 1,08', 'R$ 33,85', 'R$ 25,46']
['R$ 8,50', 'R$ 0,97', 'R$ 4,74', 'R$ 5,78', 'R$ 24,76', 'R$ 1,29', 'R$ 33,70', 'R$ 0,69', 'R$ 5,56', 'R$ 10,36', 'R$ 19,91', 'R$ 26,59']
['R$ 2,77', 'R$ 20,84', 'R$ 65,96', 'R$ 1,44', 'R$ 2,12', 'R$ 1,18', 'R$ 72,24', 'R$ 5,19', 'R$ 12,71', 'R$ 8,01', 'R$ 11,48', 'R$ 8,65']
['R$ 4,18', 'R$ 13,13', 'R$ 0,84', 'R$ 29,08', 'R$ 1,30', 'R$ 4,79', 'R$ 20,40', 'R$ 6,97', 'R$ 15,47', 'R$ 22,60', 'R$ 22,03', 'R$ 1,58']
['R$ 114,09', 'R$ 4,29', 'R$ 57,35', 'R$ 33,16', 'R$ 76,70', 'R$ 69,76', 'R$ 19,76', 'R$ 1,07', 'R$ 5,53', 'R$ 9,18', 'R$ 8,32', 'R$ 2,40']
['R$ 234,81', 'R$ 1,60', 'R$ 2,10', 'R$ 10,61', 'R$ 32,78', 'R$ 3,67', 'R$ 8,63', 'R$ 18,08', 'R$ 3,67', 'R$ 1,98', 'R$ 40,15', 'R$ 51,28']
['R$ 24,65', 'R$ 3,38', 'R$ 100,95', 'R$ 4,62', 'R$ 8,54', 'R$ 6,01', 'R$ 5,21', 'R$ 20,33', 'R$ 5,68', 'R$ 28,97', 'R$ 27,60', 'R$ 16,51']
['R$ 2,59', 'R$ 10,59', 'R$ 23,64', 'R$ 1,07', 'R$ 2,81', 'R$ 53,03', 'R$ 27,35', 'R$ 2,46', 'R$ 11,25', 'R$ 19,89', 'R$ 7,51', 'R$ 3,44']
['R$ 22,69', 'R$ 0,77', 'R$ 12,44', 'R$ 149,20', 'R$ 20,88', 'R$ 2,41', 'R$ 6,33', 'R$ 26,03', 'R$ 4,41', 'R$ 7,27', 'R$ 2,32', 'R$ 154,91']
['R$ 10,21', 'R$ 3,94', 'R$ 2,11', 'R$ 60,10', 'R$ 17,38', 'R$ 20,82', 'R$ 2,01', 'R$ 17,48', 'R$ 1,61', 'R$ 2,89', 'R$ 3,14', 'R$ 1,81']
['R$ 8,72', 'R$ 10,98', 'R$ 15,78', 'R$ 9,29', 'R$ 8,59', 'R$ 21,56', 'R$ 3,39', 'R$ 12,45', 'R$ 3,04', 'R$ 47,00', 'R$ 21,14', 'R$ 0,81']
