['R$ 1,73', 'R$ 5,45', 'R$ 3,80', 'R$ 1,66', 'R$ 2,33', 'R$ 13,71', 'R$ 31,52', 'R$ 0,46', 'R$ 373,77', 'R$ 1,81', 'R$ 11,79', 'R$ 16,02']
['R$ 16,41', 'R$ 23,29', 'R$ 0,36', 'R$ 4,59', 'R$ 2,46', 'R$ 2,92', 'R$ 71,22', 'R$ 25,96', 'R$ 13,93', 'R$ 0,67', 'R$ 8,23', 'R$ 15,87']
['R$ 19,98', 'R$ 6,53', 'R$ 4,70', 'R$ 1,14', 'R$ 45,73', 'R$ 18,01', 'R$ 2,69', 'R$ 5,72', 'R$ 7,74', 'R$ 0,78', 'R$ 6,11', 'R$ 1,65']
['R$ 5,48', 'R$ 0,76', 'R$ 34,22', 'R$ 2,72', 'R$ 11,91', 'R$ 4,69', 'R$ 13,79', 'R$ 2,65', 'R$ 6,40', 'R$ 22,27', 'R$ 221,19', 'R$ 1,49']
['R$ 5,12', 'R$ 26,02', 'R$ 11,46', 'R$ 2,50', 'R$ 10,64', 'R$ 2,60', 'R$ 10,32', 'R$ 1,15', 'R$ 6,26', 'R$ 6,03', 'R$ 4,17', 'R$ 52,43']
['R$ 15,31', 'R$ 2,82', 'R$ 51,31', 'R$ 5,76', 'R$ 9,54', 'R$ 6,65', 'R$ 1,98', 'R$ 6,12', 'R$ 26,98', 'R$ 12,11', 'R$ 3,15', 'R$ 12,34']
['R$ 4,59', 'R$ 29,62', 'R$ 0,49', 'R$ 2,21', 'R$ 2,10', 'R$ 44,71', 'R$ 3,45', 'R$ 15,37', 'R$ 8,85', 'R$ 2,95', 'R$ 1,78', 'R$ 18,20']
['R$ 37,37', 'R$ 1,92', 'R$ 22,97', 'R$ 16,17', 'R$ 0,72', 'R$ 70,88', 'R$ 2,22', 'R$ 15,89', 'R$ 28,34', 'R$ 5,00', 'R$ 15,57', 'R$ 1,66']
['R$ 2,42', 'R$ 54,75', 'R$ 89,33', 'R$ 11,60', 'R$ 1,38', 'R$ 14,42', 'R$ 3,21', 'R$ 7,44', 'R$ 141,46', 'R$ 2,47', 'R$ 1,22', 'R$ 15,00']
['R$ 2,80', 'R$ 16,27', 'R$ 36,63', 'R$ 0,99', 'R$ 9,25', 'R$ 10,10', 'R$ 18,20', 'R$ 1,11', 'R$ 8,56', 'R$ 1,25', 'R$ 43,30', 'R$ 3,14']
['R$ 14,76', 'R$ 14,20', 'R$ 2,38', 'R$ 4,23', 'R$ 2,97', 'R$ 1,03', 'R$ 5,14', 'R$ 25,82', 'R$ 4,20', 'R$ 4,71', 'R$ 5,12', 'R$ 12,30']
['R$ 0,38', 'R$ 6,32', 'R$ 0,55', 'R$ 8,62', 'R$ 74,47', 'R$ 0,89', 'R$ 24,49', 'R$ 0,44', 'R$ 12,57', 'R$ 4,12', 'R$ 2,20', 'R$ 5,65']
['R$ 3,64', 'R$ 8,08', 'R$ 0,76', 'R$ 95,67', 'R$ 2,41', 'R$ 7,98', 'R$ 2,69', 'R$ 17,69', 'R$ 21,77', 'R$ 2,96', 'R$ 0,42', 'R$ 2,94']
['R$ 2,81', 'R$ 2,28', 'R$ 75,95', 'R$ 93,20', 'R$ 45,40', 'R$ 22,09', 'R$ 33,43', 'R$ 2,33', 'R$ 0,52', 'R$ 4,95', 'R$ 8,59', 'R$ 0,96']
['R$ 10,90', 'R$ 2,70', 'R$ 4,39', 'R$ 6,93', 'R$ 25,37', 'R$ 10,38', 'R$ 19,05', 'R$ 0,87', 'R$ 0,73', 'R$ 91,83', 'R$ 36,69', 'R$ 37,35']
['R$ 18,96', 'R$ 1,53', 'R$ 26,80', 'R$ 4,47', 'R$ 5,52', 'R$ 46,05', 'R$ 12,60', 'R$ 1,50', 'R$ 8,62', 'R$ 34,59', 'R$ 4,52', 'R$ 45,40']
['R$ 5,61', 'R$ 12,36', 'R$ 13,79', 'R$ 1,38', 'R$ 1,56', 'R$ 59,24', 'R$ 116,86', 'R$ 5,51', 'R$ 21,80', 'R$ 11,27', 'R$ 8,03', 'R$ 40,15']
